MC_DataTool ASCII conversion

t           	Spikes 1 47 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 48 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 46 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 45 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 38 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 37 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 28 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 36 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 27 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 17 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 26 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 16 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 35 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 25 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 15 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 14 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 24 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 34 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 13 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 23 	Unit        
[ms]        	[µV]        	            
76193.200   	0.00        	0           
76193.240   	0.00        	0           
76193.280   	0.00        	0           
76193.320   	0.00        	0           
76193.360   	0.00        	0           
76193.400   	0.00        	0           
76193.440   	0.00        	0           
76193.480   	0.00        	0           
76193.520   	0.00        	0           
76193.560   	0.00        	0           
76193.600   	0.00        	0           
76193.640   	15.26       	0           
76193.680   	15.26       	0           
76193.720   	15.26       	0           
76193.760   	15.26       	0           
76193.800   	15.26       	0           
76193.840   	15.26       	0           
76193.880   	15.26       	0           
76193.920   	15.26       	0           
76193.960   	15.26       	0           
76194.000   	15.26       	0           
76194.040   	0.00        	0           
76194.080   	-30.52      	0           
76194.120   	-61.04      	0           
76194.160   	-61.04      	0           
76194.200   	-76.29      	0           
76194.240   	-61.04      	0           
76194.280   	-61.04      	0           
76194.320   	-30.52      	0           
76194.360   	-15.26      	0           
76194.400   	-15.26      	0           
76194.440   	-15.26      	0           
76194.480   	0.00        	0           
76194.520   	0.00        	0           
76194.560   	0.00        	0           
76194.600   	0.00        	0           
76194.640   	0.00        	0           
76194.680   	0.00        	0           
76194.720   	0.00        	0           
76194.760   	0.00        	0           
76194.800   	0.00        	0           
76194.840   	0.00        	0           
76194.880   	0.00        	0           
76194.920   	0.00        	0           
76194.960   	0.00        	0           
76195.000   	0.00        	0           
76195.040   	0.00        	0           
76195.080   	0.00        	0           
76195.120   	0.00        	0           
76195.160   	0.00        	0           
76195.200   	0.00        	0           
76195.240   	0.00        	0           
76195.280   	15.26       	0           
76195.320   	15.26       	0           
76195.360   	-15.26      	0           
76195.400   	-15.26      	0           
76195.440   	-15.26      	0           
76195.480   	-15.26      	0           
76195.520   	-15.26      	0           
76195.560   	-15.26      	0           
76195.600   	-15.26      	0           
76195.640   	-15.26      	0           
76195.680   	-15.26      	0           
76195.720   	-15.26      	0           
76195.760   	0.00        	0           
76195.800   	0.00        	0           
76195.840   	0.00        	0           
76195.880   	-15.26      	0           
76195.920   	-15.26      	0           
76195.960   	-15.26      	0           
76196.000   	-15.26      	0           
76196.040   	-15.26      	0           
76196.080   	-15.26      	0           
76196.120   	-15.26      	0           
76196.160   	-15.26      	0           

119279.880  	0.00        	0           
119279.920  	0.00        	0           
119279.960  	0.00        	0           
119280.000  	0.00        	0           
119280.040  	0.00        	0           
119280.080  	0.00        	0           
119280.120  	0.00        	0           
119280.160  	0.00        	0           
119280.200  	15.26       	0           
119280.240  	15.26       	0           
119280.280  	15.26       	0           
119280.320  	0.00        	0           
119280.360  	0.00        	0           
119280.400  	15.26       	0           
119280.440  	15.26       	0           
119280.480  	15.26       	0           
119280.520  	15.26       	0           
119280.560  	30.52       	0           
119280.600  	30.52       	0           
119280.640  	30.52       	0           
119280.680  	30.52       	0           
119280.720  	15.26       	0           
119280.760  	-15.26      	0           
119280.800  	-45.78      	0           
119280.840  	-61.04      	0           
119280.880  	-76.29      	0           
119280.920  	-61.04      	0           
119280.960  	-61.04      	0           
119281.000  	-45.78      	0           
119281.040  	-30.52      	0           
119281.080  	-30.52      	0           
119281.120  	-30.52      	0           
119281.160  	-30.52      	0           
119281.200  	-30.52      	0           
119281.240  	0.00        	0           
119281.280  	0.00        	0           
119281.320  	15.26       	0           
119281.360  	0.00        	0           
119281.400  	0.00        	0           
119281.440  	0.00        	0           
119281.480  	0.00        	0           
119281.520  	0.00        	0           
119281.560  	-15.26      	0           
119281.600  	-15.26      	0           
119281.640  	-15.26      	0           
119281.680  	-15.26      	0           
119281.720  	-15.26      	0           
119281.760  	-15.26      	0           
119281.800  	0.00        	0           
119281.840  	0.00        	0           
119281.880  	0.00        	0           
119281.920  	-15.26      	0           
119281.960  	-15.26      	0           
119282.000  	-15.26      	0           
119282.040  	-15.26      	0           
119282.080  	-15.26      	0           
119282.120  	-15.26      	0           
119282.160  	-15.26      	0           
119282.200  	-15.26      	0           
119282.240  	-15.26      	0           
119282.280  	-15.26      	0           
119282.320  	-15.26      	0           
119282.360  	0.00        	0           
119282.400  	0.00        	0           
119282.440  	0.00        	0           
119282.480  	-15.26      	0           
119282.520  	-15.26      	0           
119282.560  	-15.26      	0           
119282.600  	-15.26      	0           
119282.640  	-30.52      	0           
119282.680  	-15.26      	0           
119282.720  	-15.26      	0           
119282.760  	-15.26      	0           
119282.800  	-15.26      	0           
119282.840  	-15.26      	0           

221384.280  	0.00        	0           
221384.320  	-15.26      	0           
221384.360  	-15.26      	0           
221384.400  	-15.26      	0           
221384.440  	-15.26      	0           
221384.480  	-15.26      	0           
221384.520  	-15.26      	0           
221384.560  	-30.52      	0           
221384.600  	-30.52      	0           
221384.640  	-15.26      	0           
221384.680  	-15.26      	0           
221384.720  	-15.26      	0           
221384.760  	0.00        	0           
221384.800  	0.00        	0           
221384.840  	0.00        	0           
221384.880  	0.00        	0           
221384.920  	0.00        	0           
221384.960  	0.00        	0           
221385.000  	15.26       	0           
221385.040  	30.52       	0           
221385.080  	45.78       	0           
221385.120  	45.78       	0           
221385.160  	30.52       	0           
221385.200  	0.00        	0           
221385.240  	-45.78      	0           
221385.280  	-76.29      	0           
221385.320  	-76.29      	0           
221385.360  	-61.04      	0           
221385.400  	-61.04      	0           
221385.440  	-45.78      	0           
221385.480  	-30.52      	0           
221385.520  	-15.26      	0           
221385.560  	-15.26      	0           
221385.600  	0.00        	0           
221385.640  	0.00        	0           
221385.680  	0.00        	0           
221385.720  	0.00        	0           
221385.760  	0.00        	0           
221385.800  	0.00        	0           
221385.840  	0.00        	0           
221385.880  	0.00        	0           
221385.920  	15.26       	0           
221385.960  	15.26       	0           
221386.000  	15.26       	0           
221386.040  	0.00        	0           
221386.080  	0.00        	0           
221386.120  	0.00        	0           
221386.160  	0.00        	0           
221386.200  	0.00        	0           
221386.240  	0.00        	0           
221386.280  	0.00        	0           
221386.320  	-15.26      	0           
221386.360  	-15.26      	0           
221386.400  	-15.26      	0           
221386.440  	-30.52      	0           
221386.480  	-30.52      	0           
221386.520  	-30.52      	0           
221386.560  	-30.52      	0           
221386.600  	-15.26      	0           
221386.640  	-15.26      	0           
221386.680  	-15.26      	0           
221386.720  	-15.26      	0           
221386.760  	0.00        	0           
221386.800  	0.00        	0           
221386.840  	0.00        	0           
221386.880  	0.00        	0           
221386.920  	0.00        	0           
221386.960  	15.26       	0           
221387.000  	15.26       	0           
221387.040  	15.26       	0           
221387.080  	0.00        	0           
221387.120  	0.00        	0           
221387.160  	0.00        	0           
221387.200  	0.00        	0           
221387.240  	0.00        	0           

475208.360  	-15.26      	0           
475208.400  	-15.26      	0           
475208.440  	0.00        	0           
475208.480  	0.00        	0           
475208.520  	0.00        	0           
475208.560  	0.00        	0           
475208.600  	0.00        	0           
475208.640  	0.00        	0           
475208.680  	0.00        	0           
475208.720  	0.00        	0           
475208.760  	15.26       	0           
475208.800  	15.26       	0           
475208.840  	15.26       	0           
475208.880  	15.26       	0           
475208.920  	15.26       	0           
475208.960  	15.26       	0           
475209.000  	15.26       	0           
475209.040  	15.26       	0           
475209.080  	15.26       	0           
475209.120  	15.26       	0           
475209.160  	0.00        	0           
475209.200  	-15.26      	0           
475209.240  	-30.52      	0           
475209.280  	-45.78      	0           
475209.320  	-61.04      	0           
475209.360  	-76.29      	0           
475209.400  	-45.78      	0           
475209.440  	-45.78      	0           
475209.480  	-30.52      	0           
475209.520  	-30.52      	0           
475209.560  	-15.26      	0           
475209.600  	-15.26      	0           
475209.640  	0.00        	0           
475209.680  	0.00        	0           
475209.720  	0.00        	0           
475209.760  	0.00        	0           
475209.800  	0.00        	0           
475209.840  	0.00        	0           
475209.880  	0.00        	0           
475209.920  	0.00        	0           
475209.960  	0.00        	0           
475210.000  	0.00        	0           
475210.040  	0.00        	0           
475210.080  	-15.26      	0           
475210.120  	0.00        	0           
475210.160  	0.00        	0           
475210.200  	-15.26      	0           
475210.240  	-15.26      	0           
475210.280  	0.00        	0           
475210.320  	0.00        	0           
475210.360  	-15.26      	0           
475210.400  	-15.26      	0           
475210.440  	-15.26      	0           
475210.480  	-15.26      	0           
475210.520  	-15.26      	0           
475210.560  	-30.52      	0           
475210.600  	-30.52      	0           
475210.640  	-15.26      	0           
475210.680  	-15.26      	0           
475210.720  	-15.26      	0           
475210.760  	-15.26      	0           
475210.800  	-15.26      	0           
475210.840  	-15.26      	0           
475210.880  	-15.26      	0           
475210.920  	-15.26      	0           
475210.960  	-15.26      	0           
475211.000  	-15.26      	0           
475211.040  	0.00        	0           
475211.080  	0.00        	0           
475211.120  	0.00        	0           
475211.160  	0.00        	0           
475211.200  	15.26       	0           
475211.240  	0.00        	0           
475211.280  	0.00        	0           
475211.320  	0.00        	0           


