MC_DataTool ASCII conversion

t           	Spikes 1 47 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 48 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 46 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 45 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 38 	Unit        
[ms]        	[µV]        	            
21224.000   	0.00        	0           
21224.040   	0.00        	0           
21224.080   	15.26       	0           
21224.120   	15.26       	0           
21224.160   	15.26       	0           
21224.200   	30.52       	0           
21224.240   	30.52       	0           
21224.280   	30.52       	0           
21224.320   	30.52       	0           
21224.360   	30.52       	0           
21224.400   	15.26       	0           
21224.440   	0.00        	0           
21224.480   	0.00        	0           
21224.520   	0.00        	0           
21224.560   	-15.26      	0           
21224.600   	-15.26      	0           
21224.640   	-15.26      	0           
21224.680   	0.00        	0           
21224.720   	-15.26      	0           
21224.760   	-15.26      	0           
21224.800   	-15.26      	0           
21224.840   	-30.52      	0           
21224.880   	-45.78      	0           
21224.920   	-61.04      	0           
21224.960   	-61.04      	0           
21225.000   	-76.29      	0           
21225.040   	-45.78      	0           
21225.080   	-45.78      	0           
21225.120   	-45.78      	0           
21225.160   	-45.78      	0           
21225.200   	-45.78      	0           
21225.240   	-30.52      	0           
21225.280   	-30.52      	0           
21225.320   	-30.52      	0           
21225.360   	-30.52      	0           
21225.400   	-15.26      	0           
21225.440   	0.00        	0           
21225.480   	0.00        	0           
21225.520   	0.00        	0           
21225.560   	0.00        	0           
21225.600   	0.00        	0           
21225.640   	0.00        	0           
21225.680   	0.00        	0           
21225.720   	0.00        	0           
21225.760   	15.26       	0           
21225.800   	15.26       	0           
21225.840   	15.26       	0           
21225.880   	15.26       	0           
21225.920   	15.26       	0           
21225.960   	15.26       	0           
21226.000   	15.26       	0           
21226.040   	15.26       	0           
21226.080   	15.26       	0           
21226.120   	0.00        	0           
21226.160   	0.00        	0           
21226.200   	0.00        	0           
21226.240   	15.26       	0           
21226.280   	0.00        	0           
21226.320   	0.00        	0           
21226.360   	-15.26      	0           
21226.400   	0.00        	0           
21226.440   	0.00        	0           
21226.480   	0.00        	0           
21226.520   	-15.26      	0           
21226.560   	-15.26      	0           
21226.600   	-15.26      	0           
21226.640   	-15.26      	0           
21226.680   	0.00        	0           
21226.720   	0.00        	0           
21226.760   	0.00        	0           
21226.800   	15.26       	0           
21226.840   	0.00        	0           
21226.880   	0.00        	0           
21226.920   	0.00        	0           
21226.960   	-15.26      	0           

177620.880  	0.00        	0           
177620.920  	0.00        	0           
177620.960  	-15.26      	0           
177621.000  	-15.26      	0           
177621.040  	-15.26      	0           
177621.080  	-15.26      	0           
177621.120  	-15.26      	0           
177621.160  	-15.26      	0           
177621.200  	0.00        	0           
177621.240  	0.00        	0           
177621.280  	0.00        	0           
177621.320  	0.00        	0           
177621.360  	0.00        	0           
177621.400  	0.00        	0           
177621.440  	0.00        	0           
177621.480  	0.00        	0           
177621.520  	0.00        	0           
177621.560  	0.00        	0           
177621.600  	0.00        	0           
177621.640  	0.00        	0           
177621.680  	-15.26      	0           
177621.720  	-15.26      	0           
177621.760  	-30.52      	0           
177621.800  	-45.78      	0           
177621.840  	-61.04      	0           
177621.880  	-76.29      	0           
177621.920  	-61.04      	0           
177621.960  	-45.78      	0           
177622.000  	-45.78      	0           
177622.040  	-30.52      	0           
177622.080  	-30.52      	0           
177622.120  	-15.26      	0           
177622.160  	0.00        	0           
177622.200  	0.00        	0           
177622.240  	0.00        	0           
177622.280  	15.26       	0           
177622.320  	15.26       	0           
177622.360  	15.26       	0           
177622.400  	30.52       	0           
177622.440  	15.26       	0           
177622.480  	15.26       	0           
177622.520  	15.26       	0           
177622.560  	15.26       	0           
177622.600  	0.00        	0           
177622.640  	15.26       	0           
177622.680  	15.26       	0           
177622.720  	15.26       	0           
177622.760  	15.26       	0           
177622.800  	15.26       	0           
177622.840  	15.26       	0           
177622.880  	0.00        	0           
177622.920  	0.00        	0           
177622.960  	15.26       	0           
177623.000  	15.26       	0           
177623.040  	15.26       	0           
177623.080  	0.00        	0           
177623.120  	0.00        	0           
177623.160  	0.00        	0           
177623.200  	0.00        	0           
177623.240  	0.00        	0           
177623.280  	0.00        	0           
177623.320  	0.00        	0           
177623.360  	0.00        	0           
177623.400  	0.00        	0           
177623.440  	0.00        	0           
177623.480  	0.00        	0           
177623.520  	-15.26      	0           
177623.560  	-15.26      	0           
177623.600  	0.00        	0           
177623.640  	0.00        	0           
177623.680  	0.00        	0           
177623.720  	-15.26      	0           
177623.760  	-15.26      	0           
177623.800  	-15.26      	0           
177623.840  	-15.26      	0           

199400.960  	-15.26      	0           
199401.000  	-15.26      	0           
199401.040  	-15.26      	0           
199401.080  	-15.26      	0           
199401.120  	-30.52      	0           
199401.160  	-15.26      	0           
199401.200  	-15.26      	0           
199401.240  	-15.26      	0           
199401.280  	-15.26      	0           
199401.320  	-15.26      	0           
199401.360  	-15.26      	0           
199401.400  	-15.26      	0           
199401.440  	-15.26      	0           
199401.480  	0.00        	0           
199401.520  	0.00        	0           
199401.560  	0.00        	0           
199401.600  	-15.26      	0           
199401.640  	-15.26      	0           
199401.680  	-15.26      	0           
199401.720  	-15.26      	0           
199401.760  	-30.52      	0           
199401.800  	-45.78      	0           
199401.840  	-61.04      	0           
199401.880  	-61.04      	0           
199401.920  	-61.04      	0           
199401.960  	-76.29      	0           
199402.000  	-45.78      	0           
199402.040  	-45.78      	0           
199402.080  	-30.52      	0           
199402.120  	-15.26      	0           
199402.160  	-15.26      	0           
199402.200  	0.00        	0           
199402.240  	15.26       	0           
199402.280  	15.26       	0           
199402.320  	15.26       	0           
199402.360  	15.26       	0           
199402.400  	15.26       	0           
199402.440  	30.52       	0           
199402.480  	30.52       	0           
199402.520  	30.52       	0           
199402.560  	30.52       	0           
199402.600  	15.26       	0           
199402.640  	15.26       	0           
199402.680  	15.26       	0           
199402.720  	15.26       	0           
199402.760  	15.26       	0           
199402.800  	15.26       	0           
199402.840  	15.26       	0           
199402.880  	15.26       	0           
199402.920  	15.26       	0           
199402.960  	15.26       	0           
199403.000  	0.00        	0           
199403.040  	0.00        	0           
199403.080  	0.00        	0           
199403.120  	0.00        	0           
199403.160  	0.00        	0           
199403.200  	15.26       	0           
199403.240  	15.26       	0           
199403.280  	15.26       	0           
199403.320  	0.00        	0           
199403.360  	0.00        	0           
199403.400  	-15.26      	0           
199403.440  	0.00        	0           
199403.480  	0.00        	0           
199403.520  	0.00        	0           
199403.560  	0.00        	0           
199403.600  	-15.26      	0           
199403.640  	-15.26      	0           
199403.680  	-15.26      	0           
199403.720  	-15.26      	0           
199403.760  	-15.26      	0           
199403.800  	-15.26      	0           
199403.840  	-15.26      	0           
199403.880  	-15.26      	0           
199403.920  	-15.26      	0           

199428.880  	0.00        	0           
199428.920  	0.00        	0           
199428.960  	0.00        	0           
199429.000  	0.00        	0           
199429.040  	0.00        	0           
199429.080  	0.00        	0           
199429.120  	0.00        	0           
199429.160  	0.00        	0           
199429.200  	0.00        	0           
199429.240  	15.26       	0           
199429.280  	0.00        	0           
199429.320  	0.00        	0           
199429.360  	0.00        	0           
199429.400  	15.26       	0           
199429.440  	0.00        	0           
199429.480  	0.00        	0           
199429.520  	0.00        	0           
199429.560  	0.00        	0           
199429.600  	0.00        	0           
199429.640  	0.00        	0           
199429.680  	-15.26      	0           
199429.720  	-45.78      	0           
199429.760  	-61.04      	0           
199429.800  	-61.04      	0           
199429.840  	-61.04      	0           
199429.880  	-76.29      	0           
199429.920  	-61.04      	0           
199429.960  	-45.78      	0           
199430.000  	-45.78      	0           
199430.040  	-30.52      	0           
199430.080  	-30.52      	0           
199430.120  	-15.26      	0           
199430.160  	15.26       	0           
199430.200  	15.26       	0           
199430.240  	0.00        	0           
199430.280  	15.26       	0           
199430.320  	15.26       	0           
199430.360  	15.26       	0           
199430.400  	15.26       	0           
199430.440  	15.26       	0           
199430.480  	15.26       	0           
199430.520  	15.26       	0           
199430.560  	15.26       	0           
199430.600  	15.26       	0           
199430.640  	15.26       	0           
199430.680  	30.52       	0           
199430.720  	15.26       	0           
199430.760  	15.26       	0           
199430.800  	15.26       	0           
199430.840  	15.26       	0           
199430.880  	15.26       	0           
199430.920  	15.26       	0           
199430.960  	15.26       	0           
199431.000  	15.26       	0           
199431.040  	15.26       	0           
199431.080  	0.00        	0           
199431.120  	0.00        	0           
199431.160  	0.00        	0           
199431.200  	0.00        	0           
199431.240  	0.00        	0           
199431.280  	0.00        	0           
199431.320  	-15.26      	0           
199431.360  	-15.26      	0           
199431.400  	-15.26      	0           
199431.440  	0.00        	0           
199431.480  	0.00        	0           
199431.520  	0.00        	0           
199431.560  	0.00        	0           
199431.600  	0.00        	0           
199431.640  	15.26       	0           
199431.680  	15.26       	0           
199431.720  	0.00        	0           
199431.760  	0.00        	0           
199431.800  	0.00        	0           
199431.840  	0.00        	0           

338821.360  	0.00        	0           
338821.400  	0.00        	0           
338821.440  	0.00        	0           
338821.480  	0.00        	0           
338821.520  	0.00        	0           
338821.560  	15.26       	0           
338821.600  	15.26       	0           
338821.640  	0.00        	0           
338821.680  	0.00        	0           
338821.720  	-15.26      	0           
338821.760  	-15.26      	0           
338821.800  	-15.26      	0           
338821.840  	0.00        	0           
338821.880  	0.00        	0           
338821.920  	0.00        	0           
338821.960  	0.00        	0           
338822.000  	-15.26      	0           
338822.040  	-15.26      	0           
338822.080  	-30.52      	0           
338822.120  	-30.52      	0           
338822.160  	-30.52      	0           
338822.200  	-45.78      	0           
338822.240  	-45.78      	0           
338822.280  	-61.04      	0           
338822.320  	-61.04      	0           
338822.360  	-76.29      	0           
338822.400  	-61.04      	0           
338822.440  	-61.04      	0           
338822.480  	-45.78      	0           
338822.520  	-45.78      	0           
338822.560  	-15.26      	0           
338822.600  	0.00        	0           
338822.640  	0.00        	0           
338822.680  	15.26       	0           
338822.720  	15.26       	0           
338822.760  	30.52       	0           
338822.800  	30.52       	0           
338822.840  	30.52       	0           
