age,replicate,recording,minimum,lq,median,uq,maximum
20,b,r,0.018416760028478335,0.02176526185183803,0.025113763675197732,0.028462265498557432,0.03181076732191713
22,b,r,0.022695853707455246,0.022695853707455246,0.022695853707455246,0.022695853707455246,0.022695853707455246
25,r,r,0.06871475453565684,0.06871475453565684,0.06871475453565684,0.06871475453565684,0.06871475453565684
25,b,r,0.02033521100707148,0.02033521100707148,0.02033521100707148,0.02033521100707148,0.02033521100707148
27,r,r,0.07616810388543992,0.07616810388543992,0.07616810388543992,0.07616810388543992,0.07616810388543992
29,r,r,0.07526435337171868,0.07526435337171868,0.07526435337171868,0.07526435337171868,0.07526435337171868
29,b,r,0.018436868229981983,0.01882096965143994,0.0192050710728979,0.01958917249435586,0.019973273915813817
32,r,r,0.09015510581294148,0.09015510581294148,0.09015510581294148,0.09015510581294148,0.09015510581294148
32,b,r,0.01159376199954367,0.017390642999315503,0.02318752399908734,0.033125034284410486,0.04306254456973363
34,r,r,0.059619208142976936,0.059619208142976936,0.059619208142976936,0.059619208142976936,0.059619208142976936
34,b,r,0.021340752087928707,0.02749673826713891,0.03447352260357714,0.04350230233308544,0.05581427469150585
36,r,r,0.003320025558685559,0.003320025558685559,0.003320025558685559,0.003320025558685559,0.003320025558685559
36,b,r,0.0064414196682823464,0.012480250607297044,0.01932425900484704,0.04066146165603231,0.0241553237560588
23,r,b,0.016766729361771208,0.016766729361771208,0.016766729361771208,0.016766729361771208,0.016766729361771208
23,b,b,0.0016542527104364078,0.0016542527104364078,0.0016542527104364078,0.0016542527104364078,0.0016542527104364078
26,b,b,0.011631315222600112,0.015369952258435862,0.019108589294271613,0.022847226330107363,0.026585863365943114
28,r,b,0.01985168015687592,0.04590701036277556,0.0719623405686752,0.09801767077457485,0.12407300098047448
28,b,b,0.0016641150236304334,0.04077081807894562,0.0798775211342608,0.1655794448512281,0.25128136856819544
30,r,b,0.0015815901889785176,0.007907950944892588,0.014234311700806659,0.02056067245672073,0.0268870332126348
33,r,b,0.0,0.0,0.003317199794882278,0.019073898820573098,0.023220398564175945
35,r,b,0.0,0.006572940047162159,0.009037792564847968,0.033686317741706065,0.041080875294763494
37,r,b,0.0,0.0,0.015602180784143929,0.09689775434363071,0.031204361568287858
40,r,b,0.0,0.0020968421222144714,0.011183157985143848,0.036345263451717506,0.036345263451717506
18,r,k,0.02627121827783232,0.02627121827783232,0.02627121827783232,0.02627121827783232,0.02627121827783232
34,r,k,0.016555760729258743,0.01862523082041609,0.02069470091157343,0.022764171002730774,0.024833641093888116
37,r,k,0.0,0.008697126688012894,0.01739425337602579,0.02609138006403868,0.03478850675205158
37,b,k,0.0,0.009968349824749763,0.019936699649499526,0.03405852856789503,0.04818035748629052
39,r,k,0.0,0.0,0.0,0.005021936824436504,0.0
39,b,k,0.023533305241290676,0.023533305241290676,0.023533305241290676,0.023533305241290676,0.023533305241290676
41,r,k,0.0,0.005774798055312005,0.01154959611062401,0.017324394165936015,0.02309919222124802
41,b,k,0.0,0.005822160607128254,0.011644321214256508,0.01746648182138476,0.023288642428513015
44,r,k,0.03636895691313722,0.03881686747459838,0.04126477803605954,0.0437126885975207,0.04616059915898186
44,b,k,0.026394594660197643,0.026394594660197643,0.026394594660197643,0.026394594660197643,0.026394594660197643
46,r,k,0.0031091172687524077,0.00427503624453456,0.01632286566095014,0.038863965859405096,0.051300434934414725
46,b,k,0.027885011137273447,0.01476265295502712,0.027885011137273447,0.02952530591005424,0.03116560068283503
48,r,k,0.049032619113307196,0.049032619113307196,0.049032619113307196,0.049032619113307196,0.049032619113307196
48,b,k,0.0033064759315003995,0.013225903726001598,0.021492093554752595,0.026865116943440747,0.028105045417753393
